Innings,
Matthew Short, 
Recent Form,"20+1W, 12+1W, 4+0W, 19+0W, 4+3W"
Venue Bat,Inn-5  R-53  Avg-10.6
Venue Bowl,Inn-3  W-3
H2H Bat,Inn-2  R-49  Avg-24.5
H2H Bowl,Inn-1  W-0
The Hundred Bat,Inn-10  R-186  Avg-18.6
The Hundred Bowl,Inn-8  W-4
 , 
Graham Clark, 
Recent Form,"0, 27, 17, 13, 0"
Venue Bat,Inn-10  R-270  Avg-30.0
Venue Bowl,Inn-1  W-0
H2H Bat,NA
H2H Bowl,NA
The Hundred Bat,Inn-3  R-44  Avg-14.7
The Hundred Bowl,NA
 , 
Nicholas Pooran, 
Recent Form,"65*, 62, 10, 8, 35"
Venue Bat,Inn-3  R-115  Avg-38.3
Venue Bowl,NA
H2H Bat,NA
H2H Bowl,NA
The Hundred Bat,Inn-3  R-137  Avg-68.5
The Hundred Bowl,NA
 , 
Harry Brook, 
Recent Form,"6, 34*, 2, (36 & 109), 50"
Venue Bat,"Inn-32  R-1,070  Avg-53.5"
Venue Bowl,Inn-1  W-1
H2H Bat,Inn-4  R-55  Avg-18.3
H2H Bowl,NA
The Hundred Bat,Inn-19  R-514  Avg-39.5
The Hundred Bowl,NA
 , 
Adam Hose, 
Recent Form,"18, 3*, 4, 8, 63"
Venue Bat,Inn-15  R-298  Avg-21.3
Venue Bowl,NA
H2H Bat,Inn-3  R-79  Avg-26.3
H2H Bowl,NA
The Hundred Bat,Inn-17  R-341  Avg-24.4
The Hundred Bowl,NA
 , 
Mitchell Santner, 
Recent Form,"2*+1W, 1W, 15+1W, 9*+1W, 1W"
Venue Bat,Inn-2  R-48  Avg-24.0
Venue Bowl,Inn-3  W-3
H2H Bat,NA
H2H Bowl,Inn-2  W-1
The Hundred Bat,Inn-1  R-2  Avg--
The Hundred Bowl,Inn-4  W-3
 , 
Jordan Clark, 
Recent Form,"2W, 1W, 0+0W, 3W, 23+2W"
Venue Bat,Inn-5  R-43  Avg-10.8
Venue Bowl,Inn-6  W-2
H2H Bat,NA
H2H Bowl,NA
The Hundred Bat,Inn-2  R-0  Avg-0.0
The Hundred Bowl,Inn-4  W-3
 , 
Matthew Potts, 
Recent Form,"2W, 1W, 24+2W, 0W, (11 & 18)+(4W &  0W)"
Venue Bat,Inn-5  R-58  Avg-29.0
Venue Bowl,Inn-9  W-10
H2H Bat,NA
H2H Bowl,Inn-2  W-1
The Hundred Bat,Inn-4  R-53  Avg-53.0
The Hundred Bowl,Inn-12  W-8
 , 
Adil Rashid, 
Recent Form,"2W, 1W, 1*+0W, 2+1W, 2W"
Venue Bat,Inn-19  R-114  Avg-9.5
Venue Bowl,Inn-46  W-48
H2H Bat,Inn-2  R-21  Avg-10.5
H2H Bowl,Inn-5  W-9
The Hundred Bat,Inn-7  R-29  Avg-5.8
The Hundred Bowl,Inn-26  W-34
 , 
Dillon Pennington, 
Recent Form,"0W, 3+2W, 29*+5W, 5+0W, 1W"
Venue Bat,Inn-1  R-3  Avg--
Venue Bowl,Inn-5  W-6
H2H Bat,NA
H2H Bowl,NA
The Hundred Bat,NA
The Hundred Bowl,Inn-4  W-2
 , 
